"NAM"	"DAT"	"PERIOD"	"ӘАОЖ(каталог бойынша)"	"LӘАОЖ(каталог бойынша)"	"ОЖА"	"LОЖА"	"VAL"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2014 г."	"201412"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"3.9"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2012 г."	"201203"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.6"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2012 г."	"201206"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.4"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2012 г."	"201212"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"5.2"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2013 г."	"201303"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"5.0"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2013 г."	"201306"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"5.5"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2012 г."	"201209"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.5"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2013 г."	"201309"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"5.2"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2013 г."	"201312"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"4.1"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2014 г."	"201409"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"4.6"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2011 г."	"201109"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"8.9"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2011 г."	"201112"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.1"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2017 г."	"201712"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"4.1"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2018 г."	"201803"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.2"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2018 г."	"201806"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"7.2"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2018 г."	"201809"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.8"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2018 г."	"201812"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.0"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2019 г."	"201903"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.3"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2019 г."	"201906"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.8"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2016 г."	"201603"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"4.3"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2019 г."	"201909"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.8"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2019 г."	"201912"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.0"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2020 г."	"202003"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.3"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2020 г."	"202006"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"7.8"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2020 г."	"202009"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"7.8"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2020 г."	"202012"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.6"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2021 г."	"202103"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.3"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2021 г."	"202109"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"7.1"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2021 г."	"202112"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.7"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2022 г."	"202203"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.4"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2022 г."	"202206"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"7.3"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2022 г."	"202212"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.6"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2023 г."	"202303"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.6"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2022 г."	"202209"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"7.3"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2023 г."	"202306"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"7.2"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2023 г."	"202309"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"7.8"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2023 г."	"202312"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.9"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2024 г."	"202403"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.6"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2024 г."	"202406"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"7.3"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2024 г."	"202409"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"7.3"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2024 г."	"202412"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.8"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2025 г."	"202503"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"6.5"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2011 г."	"201106"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"5.9"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2011 г."	"201103"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"5.6"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2015 г."	"201503"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"2.7"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2015 г."	"201506"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"2.7"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2015 г."	"201509"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"2.5"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2015 г."	"201512"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"2.3"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2016 г."	"201606"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"2.6"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2016 г."	"201609"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"2.5"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2016 г."	"201612"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"2.3"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2014 г."	"201403"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"3.0"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2014 г."	"201406"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"2.9"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2014 г."	"201412"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"2.2"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2012 г."	"201203"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"3.9"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2012 г."	"201206"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"4.1"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2012 г."	"201212"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"2.9"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2013 г."	"201303"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"3.1"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2013 г."	"201306"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"3.2"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2012 г."	"201209"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"4.0"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2013 г."	"201309"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"3.1"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2013 г."	"201312"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"2.3"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2014 г."	"201409"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"2.9"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2011 г."	"201109"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"5.4"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2011 г."	"201112"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"3.4"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2017 г."	"201712"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"2.4"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2018 г."	"201803"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"4.1"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2018 г."	"201806"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"4.7"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2018 г."	"201809"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"4.6"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2018 г."	"201812"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"3.7"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2019 г."	"201903"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"4.1"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2019 г."	"201906"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"4.3"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2016 г."	"201603"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"2.5"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2019 г."	"201909"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"4.5"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2019 г."	"201912"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"3.8"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2020 г."	"202003"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"4.0"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2020 г."	"202006"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"5.7"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2020 г."	"202009"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"5.7"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2020 г."	"202012"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"4.6"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2021 г."	"202103"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"4.5"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2021 г."	"202109"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"5.3"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2021 г."	"202112"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"4.9"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2022 г."	"202203"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"4.6"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2022 г."	"202206"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"5.1"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2022 г."	"202212"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"5.0"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2023 г."	"202303"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"4.8"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2022 г."	"202209"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"5.3"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2023 г."	"202306"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"5.1"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2023 г."	"202309"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"5.6"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2023 г."	"202312"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"5.1"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2024 г."	"202403"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"4.6"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2024 г."	"202406"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"5.1"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2024 г."	"202409"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"5.4"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2024 г."	"202412"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"4.8"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2025 г."	"202503"	"REPUBLIC OF KAZAKHSTAN"	"0"	"Total"	"0"	"4.5"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2011 г."	"201103"	"KOSTANAY REGION"	"0"	"Total"	"0"	"5.4"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2011 г."	"201106"	"KOSTANAY REGION"	"0"	"Total"	"0"	"4.1"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2015 г."	"201503"	"KOSTANAY REGION"	"0"	"Total"	"0"	"2.4"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2015 г."	"201506"	"KOSTANAY REGION"	"0"	"Total"	"0"	"2.9"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2015 г."	"201509"	"KOSTANAY REGION"	"0"	"Total"	"0"	"2.9"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2015 г."	"201512"	"KOSTANAY REGION"	"0"	"Total"	"0"	"2.8"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2016 г."	"201606"	"KOSTANAY REGION"	"0"	"Total"	"0"	"2.6"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2016 г."	"201609"	"KOSTANAY REGION"	"0"	"Total"	"0"	"2.6"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2016 г."	"201612"	"KOSTANAY REGION"	"0"	"Total"	"0"	"2.3"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2014 г."	"201403"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.1"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2014 г."	"201406"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.4"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2014 г."	"201412"	"KOSTANAY REGION"	"0"	"Total"	"0"	"1.4"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2012 г."	"201203"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.9"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2012 г."	"201206"	"KOSTANAY REGION"	"0"	"Total"	"0"	"4.6"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2012 г."	"201212"	"KOSTANAY REGION"	"0"	"Total"	"0"	"2.5"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2013 г."	"201303"	"KOSTANAY REGION"	"0"	"Total"	"0"	"2.6"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2013 г."	"201306"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.4"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2012 г."	"201209"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.3"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2013 г."	"201309"	"KOSTANAY REGION"	"0"	"Total"	"0"	"2.6"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2013 г."	"201312"	"KOSTANAY REGION"	"0"	"Total"	"0"	"1.9"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2014 г."	"201409"	"KOSTANAY REGION"	"0"	"Total"	"0"	"2.2"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2011 г."	"201109"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.3"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2011 г."	"201112"	"KOSTANAY REGION"	"0"	"Total"	"0"	"2.2"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2017 г."	"201712"	"KOSTANAY REGION"	"0"	"Total"	"0"	"2.1"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2018 г."	"201803"	"KOSTANAY REGION"	"0"	"Total"	"0"	"2.8"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2018 г."	"201806"	"KOSTANAY REGION"	"0"	"Total"	"0"	"4.6"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2018 г."	"201809"	"KOSTANAY REGION"	"0"	"Total"	"0"	"4.5"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2018 г."	"201812"	"KOSTANAY REGION"	"0"	"Total"	"0"	"2.7"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2019 г."	"201903"	"KOSTANAY REGION"	"0"	"Total"	"0"	"2.8"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2019 г."	"201906"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.4"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2016 г."	"201603"	"KOSTANAY REGION"	"0"	"Total"	"0"	"2.4"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2019 г."	"201909"	"KOSTANAY REGION"	"0"	"Total"	"0"	"4.0"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2019 г."	"201912"	"KOSTANAY REGION"	"0"	"Total"	"0"	"2.4"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2020 г."	"202003"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.3"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2020 г."	"202006"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.8"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2020 г."	"202009"	"KOSTANAY REGION"	"0"	"Total"	"0"	"4.6"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2020 г."	"202012"	"KOSTANAY REGION"	"0"	"Total"	"0"	"2.7"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2021 г."	"202103"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.8"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2021 г."	"202109"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.4"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2021 г."	"202112"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.3"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2022 г."	"202203"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.6"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2022 г."	"202206"	"KOSTANAY REGION"	"0"	"Total"	"0"	"4.7"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2022 г."	"202212"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.8"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2023 г."	"202303"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.2"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2022 г."	"202209"	"KOSTANAY REGION"	"0"	"Total"	"0"	"5.1"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2023 г."	"202306"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.5"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2023 г."	"202309"	"KOSTANAY REGION"	"0"	"Total"	"0"	"4.0"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2023 г."	"202312"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.6"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2024 г."	"202403"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.7"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2024 г."	"202406"	"KOSTANAY REGION"	"0"	"Total"	"0"	"4.0"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2024 г."	"202409"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.9"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2024 г."	"202412"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.2"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2025 г."	"202503"	"KOSTANAY REGION"	"0"	"Total"	"0"	"3.9"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2011 г."	"201106"	"KARAGANDY REGION"	"0"	"Total"	"0"	"2.8"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2011 г."	"201103"	"KARAGANDY REGION"	"0"	"Total"	"0"	"3.9"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2015 г."	"201503"	"KARAGANDY REGION"	"0"	"Total"	"0"	"0.9"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2015 г."	"201506"	"KARAGANDY REGION"	"0"	"Total"	"0"	"1.5"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2015 г."	"201509"	"KARAGANDY REGION"	"0"	"Total"	"0"	"1.0"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2015 г."	"201512"	"KARAGANDY REGION"	"0"	"Total"	"0"	"0.9"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2016 г."	"201606"	"KARAGANDY REGION"	"0"	"Total"	"0"	"1.2"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2016 г."	"201609"	"KARAGANDY REGION"	"0"	"Total"	"0"	"1.2"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2016 г."	"201612"	"KARAGANDY REGION"	"0"	"Total"	"0"	"0.6"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2014 г."	"201403"	"KARAGANDY REGION"	"0"	"Total"	"0"	"1.6"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2014 г."	"201406"	"KARAGANDY REGION"	"0"	"Total"	"0"	"1.6"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2014 г."	"201412"	"KARAGANDY REGION"	"0"	"Total"	"0"	"0.9"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2012 г."	"201203"	"KARAGANDY REGION"	"0"	"Total"	"0"	"1.8"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2012 г."	"201206"	"KARAGANDY REGION"	"0"	"Total"	"0"	"2.6"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2012 г."	"201212"	"KARAGANDY REGION"	"0"	"Total"	"0"	"1.4"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2013 г."	"201303"	"KARAGANDY REGION"	"0"	"Total"	"0"	"1.7"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2013 г."	"201306"	"KARAGANDY REGION"	"0"	"Total"	"0"	"1.8"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2012 г."	"201209"	"KARAGANDY REGION"	"0"	"Total"	"0"	"2.0"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2013 г."	"201309"	"KARAGANDY REGION"	"0"	"Total"	"0"	"1.6"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2013 г."	"201312"	"KARAGANDY REGION"	"0"	"Total"	"0"	"1.5"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2014 г."	"201409"	"KARAGANDY REGION"	"0"	"Total"	"0"	"1.3"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2011 г."	"201109"	"KARAGANDY REGION"	"0"	"Total"	"0"	"3.5"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2011 г."	"201112"	"KARAGANDY REGION"	"0"	"Total"	"0"	"1.9"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2017 г."	"201712"	"KARAGANDY REGION"	"0"	"Total"	"0"	"1.3"
